papel,Tipo,Empresa,setor,Subsetor,Valor_de_mercado,Valor_da_firma,ult_balanco_processado,numero_de_acoes,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrimonio_Liq,PSR,VPA,LPA,P/l,P/VP,P/EBIT,Marg_Liquida%,Div_Yield_%,ROIC_%,ROE_%,Liquidez_Corr
AALR3 ,ON NM,ALLIAR ON NM,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos",1839460000.0,2411120000.0,30/09/2018,118293000.0,2258250000.0,46970000.0,423905000.0,618638000.0,571668000.0,1249110000.0,1.71,10.56,0.09,178.29,1.47,17.21,1.8,0.0,5.0,0.8,1.05
ALBA3,ON,DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO ON,,,,-88192000.0,31/03/2005,,482874000.0,98390000.0,234008000.0,10198000.0,-88192000.0,354860000.0,,0.0,0.0,0.0,0.0,,9.6,0.0,20.4,19.8,1.83
AHEB5,PNA,PARQUE ANHEMBI PNA,Exploração de Imóveis,Exploração de Imóveis,719178000.0,700104000.0,30/09/2018,7522000.0,268897000.0,19074000.0,34717000.0,,-19074000.0,70732000.0,-70.69,9.4,-1.79,-53.36,10.17,-45.85,132.5,0.0,-6.5,-19.1,0.82
AHEB6,PNB,PARQUE ANHEMBI PNB,Exploração de Imóveis,Exploração de Imóveis,601760000.0,582686000.0,30/09/2018,7522000.0,268897000.0,19074000.0,34717000.0,,-19074000.0,70732000.0,-59.15,9.4,-1.79,-44.65,8.51,-38.37,132.5,0.0,-6.5,-19.1,0.82
WSON33,DR3,Wilson Sons DR3,Transporte,Serviços de Apoio e Armazenagem,2830660000.0,3754320000.0,31/12/2018,71140000.0,3682090000.0,267493000.0,684847000.0,1191160000.0,923663000.0,1997810000.0,1.69,28.08,2.21,18.0,1.42,7.4,9.8,4.7,12.0,7.9,1.49
WMBY3,ON,WEMBLEY SOCIEDADE ANÔNIMA ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,609360000.0,1768760000.0,30/06/2016,24000000.0,3351410000.0,223227000.0,1663800000.0,1382630000.0,1159400000.0,212439000.0,0.84,8.85,-1.32,-19.3,2.87,8.62,-7.0,0.0,2.4,-14.9,1.44
WLMM4,PN,WLM PN,Comércio,Material de Transporte,252718000.0,209252000.0,30/09/2018,36414700.0,487502000.0,48071000.0,179688000.0,4605000.0,-43466000.0,387166000.0,0.38,10.63,0.12,58.23,0.65,-134.28,0.7,0.0,-0.5,1.1,3.36
WLMM3,ON,WLM ON,Comércio,Material de Transporte,236695000.0,193229000.0,30/09/2018,36414700.0,487502000.0,48071000.0,179688000.0,4605000.0,-43466000.0,387166000.0,0.36,10.63,0.12,54.54,0.61,-125.77,0.7,0.0,-0.5,1.1,3.36
WISA4,PN,WIEST SA PN,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,1714000.0,107552000.0,31/12/2009,6856000.0,58934000.0,39000.0,6690000.0,105877000.0,105838000.0,-205386000.0,0.22,-29.96,-0.72,-0.35,-0.01,-0.31,-62.8,0.0,-9.8,2.4,0.18
WIZS3,ON NM,WIZ S.A. ON NM,Previdência e Seguros,Corretoras de Seguros,1482340000.0,1429310000.0,31/12/2018,159907000.0,482034000.0,53023000.0,124544000.0,,-53023000.0,168973000.0,2.53,1.06,1.11,8.34,8.77,4.5,31.5,5.5,83.7,105.2,0.6
WHRL4,PN,WHIRLPOOL S.A. PN,Utilidades Domésticas,Eletrodomésticos,6672370000.0,5959620000.0,30/09/2018,1502790000.0,7300590000.0,733373000.0,5730600000.0,20627000.0,-712746000.0,2353360000.0,0.83,1.57,0.24,18.65,2.84,22.7,4.5,3.4,6.2,15.2,1.29
WISA3,ON,WIEST SA ON,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,1371200.0,107209000.0,31/12/2009,6856000.0,58934000.0,39000.0,6690000.0,105877000.0,105838000.0,-205386000.0,0.18,-29.96,-0.72,-0.28,-0.01,-0.25,-62.8,0.0,-9.8,2.4,0.18
WHRL3,ON,WHIRLPOOL S.A. ON,Utilidades Domésticas,Eletrodomésticos,6882760000.0,6170010000.0,30/09/2018,1502790000.0,7300590000.0,733373000.0,5730600000.0,20627000.0,-712746000.0,2353360000.0,0.86,1.57,0.24,19.24,2.92,23.41,4.5,3.0,6.2,15.2,1.29
WEGE4,PN N1,WEG SA PN N1,Máquinas e Equipamentos,"Motores, Compressores e Outros",33788400000.0,34030600000.0,31/12/2018,2098660000.0,15399800000.0,3529890000.0,9438580000.0,3772110000.0,242226000.0,7714270000.0,2.82,3.68,0.64,25.25,4.38,19.16,11.2,0.0,16.0,17.3,1.87
